Id,SalePrice
1461,127999.00000000004
1462,147998.9999999999
1463,183999.0
1464,172998.99999999985
1465,204999.0
1466,177998.99999999994
1467,180998.99999999985
1468,150999.0000000001
1469,189999.00000000012
1470,122999.00000000003
1471,188999.0
1472,117998.99999999991
1473,87999.00000000001
1474,126998.99999999996
1475,109998.99999999991
1476,334998.9999999998
1477,289998.9999999999
1478,314998.99999999994
1479,324998.9999999999
1480,349999.0000000001
1481,334998.9999999998
1482,213999.0000000001
1483,175999.00000000003
1484,172998.99999999985
1485,184999.00000000006
1486,184999.00000000006
1487,259999.00000000015
1488,249998.99999999983
1489,191998.99999999994
1490,259999.00000000015
1491,187499.00000000006
1492,86998.99999999997
1493,187499.00000000006
1494,314998.99999999994
1495,259999.00000000015
1496,224999.00000000015
1497,179998.99999999997
1498,187499.00000000006
1499,172998.99999999985
1500,159998.9999999999
1501,172499.00000000003
1502,136499.0000000001
1503,334998.9999999998
1504,179998.99999999997
1505,238999.00000000003
1506,189999.00000000012
1507,249998.99999999983
1508,184999.00000000006
1509,169999.0
1510,147998.9999999999
1511,169999.0
1512,170999.00000000003
1513,159998.9999999999
1514,177998.99999999994
1515,184999.00000000006
1516,147998.9999999999
1517,154999.0
1518,140999.0
1519,229999.0000000002
1520,134999.00000000012
1521,134999.00000000012
1522,197899.00000000003
1523,115999.00000000006
1524,109998.99999999991
1525,116999.0
1526,107999.0
1527,109499.00000000007
1528,128999.00000000006
1529,138998.99999999994
1530,179998.99999999997
1531,117998.99999999991
1532,86998.99999999997
1533,144998.99999999994
1534,138998.99999999994
1535,146998.9999999999
1536,104999.00000000004
1537,79998.99999999994
1538,156998.9999999999
1539,207498.99999999985
1540,97999.00000000001
1541,124998.99999999991
1542,166998.99999999985
1543,164999.00000000006
1544,90998.99999999996
1545,118999.0000000001
1546,139998.9999999999
1547,143999.00000000012
1548,137499.0
1549,140999.0
1550,139998.9999999999
1551,99999.00000000001
1552,139998.9999999999
1553,139998.9999999999
1554,127999.00000000004
1555,174999.00000000003
1556,84999.0
1557,109499.00000000007
1558,86998.99999999997
1559,59999.00000000002
1560,112999.0
1561,109998.99999999991
1562,129999.00000000006
1563,122999.00000000003
1564,146998.9999999999
1565,159998.9999999999
1566,239999.00000000015
1567,79998.99999999994
1568,224999.00000000015
1569,134999.00000000012
1570,139998.9999999999
1571,128999.00000000006
1572,146998.9999999999
1573,239999.00000000015
1574,129999.00000000006
1575,238999.00000000003
1576,199999.00000000006
1577,172998.99999999985
1578,123999.0000000001
1579,180998.99999999985
1580,188999.0
1581,154999.0
1582,128999.00000000006
1583,324998.9999999999
1584,199999.00000000006
1585,143999.00000000012
1586,59999.00000000002
1587,118999.0000000001
1588,155999.00000000012
1589,99999.00000000001
1590,132498.99999999994
1591,87999.00000000001
1592,124998.99999999991
1593,118999.0000000001
1594,144998.99999999994
1595,120498.99999999994
1596,199999.00000000006
1597,207498.99999999985
1598,213999.0000000001
1599,174999.00000000003
1600,170999.00000000003
1601,59999.00000000002
1602,109998.99999999991
1603,78999.00000000006
1604,238999.00000000003
1605,249998.99999999983
1606,170999.00000000003
1607,169999.0
1608,238999.00000000003
1609,190998.99999999997
1610,150999.0000000001
1611,126998.99999999996
1612,175999.00000000003
1613,180998.99999999985
1614,138998.99999999994
1615,99999.00000000001
1616,79998.99999999994
1617,80998.99999999994
1618,139998.9999999999
1619,139998.9999999999
1620,174999.00000000003
1621,154999.0
1622,139998.9999999999
1623,274999.00000000006
1624,204999.0
1625,114999.00000000009
1626,172998.99999999985
1627,174999.00000000003
1628,274999.00000000006
1629,174999.00000000003
1630,334998.9999999998
